                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 1.2077,                0.71527,                0.96736,                0.62693,                0.42375,                0.43571,                 0.2378,                 1.3348,                0.80277,                  1.003,               0.005149,               0.005149,               0.005149
                    100,                 1.2139,                0.71887,                0.97027,                0.64872,                0.39615,                0.43237,                0.23714,                 1.3359,                0.80194,                0.99998,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.2151,                0.71762,                0.97111,                0.65071,                0.40266,                0.43349,                0.23711,                 1.3304,                0.80511,                0.99979,                0.00505,                0.00505,                0.00505
                    102,                 1.2079,                0.71424,                0.96707,                0.67964,                0.39215,                0.43463,                 0.2389,                 1.3344,                0.80092,                      1,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.2096,                0.70874,                0.96441,                0.66299,                0.40573,                0.43809,                0.24019,                 1.3333,                0.80116,                0.99934,               0.004951,               0.004951,               0.004951
                    104,                 1.2024,                0.71007,                0.96859,                0.64675,                0.40937,                0.43338,                0.23712,                 1.3294,                0.79991,                 0.9993,              0.0049015,              0.0049015,              0.0049015
                    105,                  1.202,                0.70687,                0.96783,                0.67746,                0.40152,                0.44193,                0.23803,                 1.3331,                0.80124,                0.99917,               0.004852,               0.004852,               0.004852
                    106,                 1.2053,                0.71053,                0.96895,                0.67962,                0.39414,                 0.4375,                 0.2386,                  1.334,                 0.7994,                0.99983,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.2072,                0.70831,                0.96908,                0.67491,                 0.4057,                0.44213,                0.23914,                 1.3311,                 0.8039,                 1.0012,               0.004753,               0.004753,               0.004753
                    108,                 1.1993,                0.70468,                0.96637,                0.67681,                0.40646,                0.44711,                0.24107,                 1.3311,                0.79515,                0.99972,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.1931,                0.70076,                0.96351,                0.66594,                0.41291,                0.44449,                0.23901,                   1.33,                0.79395,                0.99903,               0.004654,               0.004654,               0.004654
                    110,                 1.1865,                0.69119,                0.96155,                0.68212,                0.40981,                0.44994,                0.24343,                 1.3333,                 0.7969,                 1.0008,              0.0046045,              0.0046045,              0.0046045
                    111,                  1.189,                 0.6934,                0.96096,                0.65907,                0.40792,                0.44295,                0.24004,                 1.3354,                0.79466,                0.99872,               0.004555,               0.004555,               0.004555
                    112,                 1.1964,                0.69609,                0.96268,                0.67211,                0.39531,                0.43747,                0.23794,                 1.3375,                0.79936,                 1.0004,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.1841,                0.68806,                0.96168,                0.67806,                0.40712,                0.44695,                0.24254,                 1.3331,                0.79672,                 1.0019,               0.004456,               0.004456,               0.004456
                    114,                 1.1818,                0.68588,                 0.9577,                0.66943,                0.41386,                0.44719,                0.24015,                 1.3358,                0.79498,                 1.0008,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.1915,                0.68816,                0.95889,                0.68074,                0.40466,                0.45025,                 0.2401,                 1.3359,                0.79566,                  1.001,               0.004357,               0.004357,               0.004357
                    116,                 1.1782,                0.68477,                0.95906,                0.58461,                0.39381,                0.44539,                0.24086,                 1.3339,                0.79514,                0.99985,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.1854,                0.68925,                0.95894,                0.65688,                 0.3949,                0.43623,                0.23424,                 1.3315,                0.79555,                0.99933,               0.004258,               0.004258,               0.004258
                    118,                 1.1837,                0.68556,                0.95904,                 0.6564,                0.40234,                0.44219,                0.23599,                 1.3342,                0.79618,                0.99986,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.1786,                0.68304,                0.95773,                0.65363,                0.40653,                0.43606,                0.23573,                 1.3316,                0.79607,                 1.0013,               0.004159,               0.004159,               0.004159
                    120,                 1.1781,                0.68382,                0.95802,                0.63245,                0.41815,                0.43801,                 0.2381,                 1.3316,                0.79505,                0.99959,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.1797,                0.68118,                0.95709,                0.65272,                0.41003,                0.44314,                0.24058,                 1.3316,                0.79335,                 1.0011,                0.00406,                0.00406,                0.00406
